EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
17661	2	1	0	4	4	2	912	0.745752	
17768	1	1	130.695	4	2	1	912	0.750831	
17768	2	1	0	4	4	1	912	0.754556	
17791	1	1	0	4	4	1	912	0.728	
17875	1	1	209.421	4	2	1	912	0.726179	
17875	2	1	0	4	4	2	912	0.729715	
18046	1	1	418.691	4	2	1	912	0.723786	
18046	2	1	37.5907	4	2	3	912	0.745864	
18046	3	1	205.718	4	1	4	912	0.754495	
18582	1	1	0	4	4	8	912	0.716833	
18802	1	1	179.027	4	2	8	912	0.721076	
18802	2	1	0	4	4	10	912	0.723251	
18900	1	1	204.445	4	2	9	912	0.717852	
18900	2	1	125.549	4	2	10	912	0.718918	
18900	3	1	0	4	4	10	912	0.728639	
18953	1	1	0	4	4	1	912	0.72336	
19013	1	1	257.466	4	2	7	912	0.719367	
19013	2	1	0	4	4	9	912	0.732622	
19137	1	1	456.802	4	2	2	912	0.726264	
19137	2	1	0	4	4	2	912	0.728571	
19159	1	1	0	4	4	5	912	0.721539	
19265	1	1	0	4	4	5	912	0.722044	
19281	1	1	0	4	4	1	912	0.725693	
19399	1	1	662	4	1	8	912	0.738188	
19448	1	1	0	4	4	4	912	0.736278	
19654	1	1	0	4	4	4	912	0.719795	
19805	1	1	0	4	4	5	912	0.720733	
19915	1	1	0	4	4	1	912	0.726601	
19948	1	1	0	4	4	1	912	0.725046	
19994	1	1	0	4	4	1	912	0.728363	
20259	1	1	0	4	4	1	912	0.725454	
20390	1	1	0	4	4	1	912	0.723275	
20424	1	1	0	4	4	1	912	0.725516	
20498	1	1	0	4	4	1	912	0.726326	
20574	1	1	0	4	4	1	912	0.722957	
20736	1	1	0	4	4	8	912	0.721846	
20765	1	1	0	4	4	1	912	0.724179	
20848	1	1	0	4	4	1	912	0.723019	
21117	1	1	0	4	4	5	912	0.720226	
21164	1	1	0	4	4	8	912	0.717505	
21184	1	1	0	4	4	5	912	0.720478	
21234	1	1	0	4	4	1	912	0.73282	
21310	1	1	0	4	4	1	912	0.723793	
21384	1	1	0	4	4	1	912	0.726096	
21502	1	1	0	4	4	6	912	0.720485	
21659	1	1	0	4	4	9	912	0.729574	
22343	1	1	90.1284	4	2	1	912	0.737523	
22343	2	1	0	4	4	2	912	0.740339	
22580	1	1	0	4	4	6	912	0.721883	
22667	1	1	0	4	4	4	912	0.720743	
22681	1	1	0	4	4	8	912	0.717601	
22893	1	1	0	4	4	5	912	0.721211	
23001	1	1	0	4	4	1	912	0.723894	
23316	1	1	151.318	4	2	6	912	0.717613	
23316	2	1	0	4	4	6	912	0.7522	
23386	1	1	0	4	4	10	912	0.720636	
23521	1	1	0	4	4	1	912	0.727466	
23660	1	1	662	4	1	5	912	0.72195	
23749	1	1	425.45	4	2	3	912	0.723367	
23749	2	1	0	4	4	1	912	0.749252	
23917	1	1	312.176	4	2	4	912	0.720203	
23917	2	1	0	4	4	1	912	0.747313	
24029	1	1	242.116	4	2	5	912	0.720807	
24029	2	1	0	4	4	4	912	0.726195	
24131	1	1	0	4	4	1	912	0.725044	
24252	1	1	0	4	4	1	912	0.726291	
24570	1	1	0	4	4	10	912	0.746679	
24583	1	1	0	4	4	1	912	0.727481	
24624	1	1	418.348	4	2	2	912	0.723027	
24624	2	1	0	4	4	1	912	0.734872	
24778	1	1	0	4	4	6	912	0.719197	
24941	1	1	0	4	4	5	912	0.719741	
25003	1	1	67.2063	4	2	1	912	0.725398	
25003	2	1	0	4	4	1	912	0.73927	
25077	1	1	285.576	4	2	6	912	0.721756	
25077	2	1	169.343	4	2	3	912	0.72267	
25077	3	1	50.3598	4	2	2	912	0.736682	
25077	4	1	0	4	4	1	912	0.751619	
25296	1	1	0	4	4	10	912	0.740936	
25393	1	1	461.855	4	2	8	912	0.718957	
25393	2	1	200.145	4	1	7	912	0.740586	
25601	1	1	348.47	4	2	1	912	0.725782	
25601	2	1	17.3196	4	2	3	912	0.733452	
25601	3	1	70.4109	4	2	4	912	0.739065	
25601	4	1	40.4975	4	2	4	912	0.744982	
25601	5	1	185.302	4	1	4	912	0.745728	
25603	1	1	0	4	4	2	912	0.723738	
25639	1	1	0	4	4	1	912	0.726263	
26239	1	1	662	4	1	2	912	0.723303	
26476	1	1	0	4	4	3	912	0.72075	
26880	1	1	0	4	4	6	912	0.720407	
26921	1	1	43.8906	4	2	6	912	0.719526	
26921	2	1	0	4	4	1	912	0.727297	
26945	1	1	0	4	4	2	912	0.722618	
27009	1	1	0	4	4	8	912	0.717674	
27396	1	1	0	4	4	1	912	0.725486	
27434	1	1	400.117	4	2	9	912	0.71923	
27434	2	1	0	4	4	10	912	0.740178	
27514	1	1	0	4	4	3	912	0.721727	
27639	1	1	0	4	4	1	912	0.726725	
27699	1	1	0	4	4	7	912	0.717805	
27713	1	1	0	4	4	4	912	0.719162	
27857	1	1	0	4	4	1	912	0.724911	
27981	1	1	0	4	4	9	912	0.733164	
28170	1	1	0	4	4	9	912	0.733289	
28256	1	1	4.72147	4	2	10	912	0.718592	
28256	2	1	0	4	4	7	912	0.727902	
28279	1	1	0	4	4	10	912	0.72003	
28423	1	1	0	4	4	1	912	0.724757	
28468	1	1	0	4	4	3	912	0.748094	
28554	1	1	0	4	4	7	912	0.718857	
28726	1	1	363.051	4	2	10	912	0.740976	
28726	2	1	0	4	4	10	912	0.749048	
28805	1	1	78.0851	4	2	10	912	0.732698	
28805	2	1	0	4	4	10	912	0.737751	
28929	1	1	453.581	4	2	1	912	0.725117	
28929	2	1	65.7581	4	2	5	912	0.747605	
28929	3	1	0	4	4	4	912	0.769085	
28948	1	1	0	4	4	9	912	0.727287	
29260	1	1	0	4	4	5	912	0.719872	
29319	1	1	0	4	4	1	912	0.725336	
29485	1	1	0	4	4	1	912	0.724323	
29990	1	1	0	4	4	7	912	0.720695	
30203	1	1	0	4	4	7	912	0.718128	
30303	1	1	0	4	4	3	912	0.721648	
30407	1	1	0	4	4	1	912	0.725786	
30608	1	1	0	4	4	4	912	0.724818	
30620	1	1	0	4	4	5	912	0.720485	
30818	1	1	334.16	4	2	7	912	0.720516	
30818	2	1	96.423	4	2	6	912	0.740027	
30818	3	1	231.417	4	1	5	912	0.743342	
31285	1	1	0	4	4	1	912	0.72303	
31641	1	1	662	4	1	2	912	0.723757	
32168	1	1	0	4	4	9	912	0.731533	
32391	1	1	0	4	4	2	912	0.723416	
32435	1	1	0	4	4	1	912	0.726369	
32727	1	1	0	4	4	4	912	0.720024	
32791	1	1	0	4	4	6	912	0.722946	
33117	1	1	67.5878	4	2	2	912	0.723863	
33117	2	1	0	4	4	1	912	0.75447	
33263	1	1	34.9064	4	2	3	912	0.72282	
33263	2	1	0	4	4	3	912	0.740316	
33293	1	1	0	4	4	1	912	0.724377	
33398	1	1	0	4	4	10	912	0.7379	
33428	1	1	179.381	4	2	9	912	0.71849	
33428	2	1	482.619	4	1	9	912	0.742827	
33547	1	1	0	4	4	6	912	0.718007	
33674	1	1	0	4	4	5	912	0.723836	
33974	1	1	0	4	4	1	912	0.727368	
34005	1	1	0	4	4	10	912	0.742065	
34061	1	1	0	4	4	7	912	0.73163	
34176	1	1	0	4	4	3	912	0.722622	
34322	1	1	0	4	4	8	912	0.743531	
34328	1	1	122.145	4	2	5	912	0.722197	
34328	2	1	0	4	4	5	912	0.732754	
34337	1	1	0	4	4	4	912	0.719343	
34663	1	1	0	4	4	5	912	0.719212	
34946	1	1	0	4	4	1	912	0.725174	
34996	1	1	0	4	4	1	912	0.724466	
35610	1	1	450.24	4	2	2	912	0.725073	
35610	2	1	0	4	4	9	912	0.735998	
35758	1	1	117.834	4	2	4	912	0.724202	
35758	2	1	0	4	4	1	912	0.730805	
35992	1	1	0	4	4	7	912	0.717024	
36081	1	1	0	4	4	9	912	0.725615	
36150	1	1	0	4	4	6	912	0.718169	
36176	1	1	0	4	4	1	912	0.727043	
36495	1	1	0	4	4	1	912	0.725842	
36583	1	1	120.613	4	2	1	912	0.72487	
36583	2	1	0	4	4	1	912	0.756933	
36689	1	1	218.687	4	2	10	912	0.718817	
36689	2	1	168.381	4	2	4	912	0.718825	
36689	3	1	0	4	4	4	912	0.744133	
36856	1	1	259.424	4	2	8	912	0.719577	
36856	2	1	0	4	4	5	912	0.733194	
37296	1	1	0	4	4	2	912	0.723285	
37390	1	1	0	4	4	9	912	0.730895	
