EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
84303	1	1	198.095	0	1	6.90501	0	0	90	0.704177	
84346	1	1	323.506	0	2	3.146	0	0	90	0.31696	
84346	2	1	0	0	4	1.02968	0	0	90	0.339828	
85233	1	1	0	0	4	0	0	0	90	0.316988	
85992	1	1	0	0	4	7.40493	0	0	90	0.317425	
86116	1	1	0	0	4	0	0	0	90	0.317474	
86517	1	1	425.073	0	2	2.86386	0	0	90	0.317032	
86517	2	1	0	0	4	4.15507	0	0	90	0.340846	
89911	1	1	260.799	0	2	4.95525	0	0	90	0.357558	
89911	2	1	159.175	0	1	6.45014	0	0	90	0.374969	
90005	1	1	0	0	4	0.0206683	0	0	90	0.317338	
93221	1	1	120.173	0	2	9.683	0	0	90	0.317174	
93221	2	1	0	0	3	2.2682	0	0	90	0.318233	
93221	3	1	0	0	4	0	0	0	90	0.347683	
94440	1	1	0	0	4	0	0	0	90	0.317198	
94879	1	1	0	0	4	4.89691	0	0	90	0.378138	
97042	1	1	0	0	4	0	0	0	90	0.317166	
97242	1	1	115.725	0	2	2.18583	0	0	90	0.317306	
97242	2	1	0	0	4	1.30762	0	0	90	0.343405	
98526	1	1	177.85	0	2	0.548303	0	0	90	0.317328	
98526	2	1	302.705	0	2	0.347376	0	0	90	0.348899	
98526	3	1	181.445	0	1	2.73971	0	0	90	0.34987	
100513	1	1	0	0	4	0.744432	0	0	90	0.317264	
101579	1	1	0	0	4	0	0	0	90	0.317164	
102113	1	1	662	0	1	5.33769	0	0	90	0.316973	
102704	1	1	0	0	4	5.32664	0	0	90	0.317287	
102942	1	1	0	0	4	5.46027	0	0	90	0.466668	
104293	1	1	201.748	0	2	1.20886	0	0	90	0.349428	
104293	2	1	0	0	4	1.08832	0	0	90	0.357859	
104382	1	1	0	0	4	0.119375	0	0	90	0.317246	
104555	1	1	0	0	3	0.152374	0	0	90	0.663528	
104555	2	1	30.4198	0	2	0.269266	0	0	90	0.664679	
104555	3	1	0	0	4	0.303185	0	0	90	0.665595	
109192	1	1	662	0	1	7.11003	0	0	90	0.31755	
109280	1	1	0	0	4	0	0	0	90	0.323361	
110526	1	1	183.075	0	1	2.56804	0	0	90	0.660302	
110883	1	1	0	0	4	0	0	0	90	0.317179	
111170	1	1	0	0	4	5.77216	0	0	90	0.317561	
115903	1	1	0	0	4	0	0	0	90	0.31726	
116827	1	1	0	0	4	3.03341	0	0	90	0.476088	
