EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
540	1	1	0	0	4	1.65579	0	180	90	0.31927	
992	1	1	0	0	4	10	0	180	90	0.317064	
1097	1	1	0	0	4	10	0	180	90	0.317043	
1889	1	1	162.002	0	2	8.18266	0	180	90	0.316892	
1889	2	1	0	0	4	10	0	180	90	0.344187	
4453	1	1	445.62	0	2	7.28485	0	180	90	0.317156	
4453	2	1	0	0	4	6.01338	0	180	90	0.341476	
9454	1	1	0	0	4	10	0	180	90	0.317202	
9894	1	1	0	0	4	10	0	180	90	0.317075	
10698	1	1	0	0	4	10	0	180	90	0.316912	
10730	1	1	137.859	0	2	6.99476	0	180	90	0.317357	
10730	2	1	0	0	4	9.02513	0	180	90	0.340724	
11396	1	1	362.463	0	2	8.21305	0	180	90	0.317459	
11396	2	1	0	0	4	8.21705	0	180	90	0.344904	
12327	1	1	0	0	4	10	0	180	90	0.317281	
13350	1	1	0	0	4	0	0	180	90	1.81399	
13379	1	1	662	0	1	9.49992	0	180	90	0.317155	
13987	1	1	0	0	4	1.65028	0	180	90	0.317618	
13998	1	1	0	0	4	10	0	180	90	0.316897	
14977	1	1	64.8179	0	2	0.304608	0	180	90	0.317729	
14977	2	1	0	0	4	1.28883	0	180	90	0.318748	
15802	1	1	343.777	0	2	3.82073	0	180	90	0.317009	
15802	2	1	318.223	0	1	4.73691	0	180	90	0.329758	
16383	1	1	0	0	4	10	0	180	90	0.317241	
18832	1	1	0	0	4	10	0	180	90	0.317138	
19817	1	1	0	0	4	10	0	180	90	0.317008	
23148	1	1	0	0	4	10	0	180	90	0.317027	
23224	1	1	0	0	4	10	0	180	90	0.316998	
23260	1	1	0	0	4	10	0	180	90	0.31715	
23862	1	1	107.459	0	2	4.16884	0	180	90	0.317173	
23862	2	1	0	0	4	10	0	180	90	0.331091	
24200	1	1	2.69864	0	2	8.24556	0	180	90	0.317385	
24200	2	1	0	0	4	10	0	180	90	0.344933	
24216	1	1	216.657	0	2	4.53857	0	180	90	0.316903	
24216	2	1	0	0	3	9.05084	0	180	90	0.332043	
24216	3	1	0	0	4	9.42761	0	180	90	0.355921	
24758	1	1	36.9419	0	2	1.83535	0	180	90	0.316951	
24758	2	1	0	0	4	10	0	180	90	0.323075	
26090	1	1	442.605	0	2	5.04926	0	180	90	0.316979	
26090	2	1	219.395	0	1	4.45798	0	180	90	0.333827	
28517	1	1	0	0	4	10	0	180	90	0.317187	
29117	1	1	0	0	4	4.95806	0	180	90	0.334843	
