EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
1021	1	1	341.784	0	2	10	0	0	90	0.316997	
1021	2	1	0	0	3	10	0	0	90	0.339926	
1021	3	1	0	0	4	10	0	0	90	0.34776	
1063	1	1	15.2879	0	2	1	0	0	90	0.317094	
1063	2	1	0	0	4	1	0	0	90	0.31915	
1077	1	1	0	0	4	1	0	0	90	0.317533	
1088	1	1	0	0	4	1	0	0	90	0.317211	
1109	1	1	443.385	0	2	10	0	0	90	0.317177	
1109	2	1	0	0	4	10	0	0	90	0.338403	
1113	1	1	0	0	4	1	0	0	90	0.317269	
1122	1	1	0	0	4	10	0	0	90	0.31746	
1133	1	1	118.51	0	2	1	0	0	90	0.316976	
1133	2	1	543.49	0	1	1	0	0	90	0.327349	
1138	1	1	0	0	4	1	0	0	90	0.317111	
1139	1	1	0	0	4	1	0	0	90	0.317148	
1151	1	1	355.85	0	2	1	0	0	90	0.317249	
1151	2	1	0	0	4	1	0	0	90	0.336083	
1157	1	1	0	0	4	10	0	0	90	0.31736	
1168	1	1	0	0	4	10	0	0	90	0.317049	
1189	1	1	0	0	4	1	0	0	90	0.317139	
1191	1	1	0	0	4	10	0	0	90	0.317207	
1200	1	1	0	0	4	1	0	0	90	0.317203	
1218	1	1	0	0	4	10	0	0	90	0.31689	
1221	1	1	0	0	4	10	0	0	90	0.317018	
1242	1	1	0	0	4	1	0	0	90	0.317484	
1245	1	1	0	0	4	1	0	0	90	0.317118	
1249	1	1	0	0	4	1	0	0	90	0.316953	
1250	1	1	0	0	4	1	0	0	90	0.31763	
1257	1	1	0	0	4	1	0	0	90	0.317297	
1272	1	1	0	0	4	10	0	0	90	0.317391	
1277	1	1	0	0	4	10	0	0	90	0.316981	
1281	1	1	363.107	0	2	1	0	0	90	0.317118	
1281	2	1	0	0	4	1	0	0	90	0.337437	
1285	1	1	9.30143	0	2	1	0	0	90	0.317249	
1285	2	1	195.025	0	2	1	0	0	90	0.329778	
1285	3	1	0	0	4	1	0	0	90	0.347745	
1292	1	1	0	0	4	10	0	0	90	0.316923	
1295	1	1	662	0	1	1	0	0	90	0.317111	
1296	1	1	0	0	4	1	0	0	90	0.317123	
1306	1	1	0	0	4	10	0	0	90	0.317267	
1309	1	1	128.863	0	2	1	0	0	90	0.317659	
1309	2	1	0	0	4	1	0	0	90	0.331319	
1320	1	1	459.889	0	2	10	0	0	90	0.317042	
1320	2	1	0	0	4	10	0	0	90	0.328642	
1321	1	1	0	0	4	10	0	0	90	0.316908	
1322	1	1	0	0	4	10	0	0	90	0.317312	
1349	1	1	0	0	4	10	0	0	90	0.317363	
1365	1	1	459.296	0	2	1	0	0	90	0.316895	
1365	2	1	51.8285	0	2	10	0	0	90	0.32152	
1365	3	1	0	0	4	10	0	0	90	0.325166	
1368	1	1	662	0	1	10	0	0	90	0.317104	
1390	1	1	657.975	0	1	10	0	0	90	0.317317	
1397	1	1	217.827	0	2	1	0	0	90	0.317196	
1397	2	1	0	0	4	10	0	0	90	0.342032	
1399	1	1	231.497	0	2	10	0	0	90	0.31716	
1399	2	1	0	0	4	1	0	0	90	0.350044	
1402	1	1	0	0	4	1	0	0	90	0.317089	
1407	1	1	66.4921	0	2	1	0	0	90	0.317183	
1407	2	1	0	0	4	1	0	0	90	0.341716	
1409	1	1	662	0	1	10	0	0	90	0.317249	
1411	1	1	0	0	4	10	0	0	90	0.317007	
1423	1	1	0	0	4	1	0	0	90	0.317331	
1429	1	1	0	0	4	1	0	0	90	0.317303	
1440	1	1	0	0	4	1	0	0	90	0.316947	
1450	1	1	0	0	4	1	0	0	90	0.317052	
1453	1	1	0	0	4	1	0	0	90	0.316987	
1459	1	1	310.583	0	2	1	0	0	90	0.317311	
1459	2	1	0	0	4	1	0	0	90	0.333427	
1462	1	1	0	0	4	1	0	0	90	0.317426	
1468	1	1	221.586	0	2	10	0	0	90	0.317263	
1468	2	1	0	0	4	10	0	0	90	0.335949	
1474	1	1	323.302	0	2	10	0	0	90	0.316953	
1474	2	1	0	0	4	1	0	0	90	0.32695	
1478	1	1	0	0	4	1	0	0	90	0.317462	
1493	1	1	0	0	4	1	0	0	90	0.317118	
1495	1	1	0	0	4	1	0	0	90	0.31707	
1512	1	1	0	0	4	1	0	0	90	0.317266	
1556	1	1	147.542	0	2	10	0	0	90	0.316924	
1556	2	1	0	0	4	1	0	0	90	0.325433	
1586	1	1	136.452	0	2	10	0	0	90	0.316959	
1586	2	1	0	0	4	1	0	0	90	0.334488	
1591	1	1	0	0	4	1	0	0	90	0.317118	
1593	1	1	439.173	0	2	1	0	0	90	0.317222	
1593	2	1	0	0	4	1	0	0	90	0.333626	
1599	1	1	399.994	0	2	1	0	0	90	0.317067	
1599	2	1	0	0	4	1	0	0	90	0.342353	
1611	1	1	8.86401	0	2	1	0	0	90	0.317233	
1611	2	1	0	0	4	1	0	0	90	0.336845	
1614	1	1	0	0	4	1	0	0	90	0.317219	
1625	1	1	443.033	0	2	10	0	0	90	0.317199	
1625	2	1	218.967	0	1	10	0	0	90	0.333544	
1662	1	1	662	0	1	1	0	0	90	0.316942	
1677	1	1	9.06121	0	2	10	0	0	90	0.317302	
1677	2	1	0	0	4	1	0	0	90	0.325103	
1688	1	1	0	0	4	10	0	0	90	0.317455	
1689	1	1	0	0	4	10	0	0	90	0.31758	
1696	1	1	0	0	4	1	0	0	90	0.317459	
1698	1	1	0	0	4	1	0	0	90	0.317201	
1724	1	1	0	0	4	1	0	0	90	0.317259	
1778	1	1	0	0	4	1	0	0	90	0.316956	
1793	1	1	81.8649	0	2	10	0	0	90	0.317022	
1793	2	1	0	0	4	1	0	0	90	0.317478	
1803	1	1	0	0	4	1	0	0	90	0.317182	
1813	1	1	58.5995	0	2	10	0	0	90	0.317049	
1813	2	1	0	0	4	1	0	0	90	0.324103	
1815	1	1	0	0	4	10	0	0	90	0.317618	
1826	1	1	0	0	4	1	0	0	90	0.317195	
1841	1	1	0	0	4	1	0	0	90	0.316934	
1844	1	1	422.279	0	2	1	0	0	90	0.316986	
1844	2	1	0	0	4	1	0	0	90	0.348695	
1846	1	1	0	0	4	1	0	0	90	0.317315	
1854	1	1	0	0	4	10	0	0	90	0.317392	
1862	1	1	147.982	0	2	1	0	0	90	0.317141	
1862	2	1	0	0	4	1	0	0	90	0.324798	
1865	1	1	142.768	0	2	1	0	0	90	0.317096	
1865	2	1	0	0	4	1	0	0	90	0.347659	
1874	1	1	394.819	0	2	1	0	0	90	0.31696	
1874	2	1	0	0	4	1	0	0	90	0.342205	
1885	1	1	202.98	0	2	10	0	0	90	0.316938	
1885	2	1	0	0	4	1	0	0	90	0.33536	
1899	1	1	0	0	4	1	0	0	90	0.317153	
