EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
277	1	1	0	61	4	8	912	3.25666	
277	2	1	0	60	4	7	912	3.30979	
279	1	1	0	108	4	7	912	3.36047	
282	1	1	236.539	25	2	3	912	3.21689	
282	2	1	0	25	4	1	912	3.22146	
282	3	1	46.1867	84	2	6	912	3.40419	
282	4	1	0	84	4	6	912	3.40485	
284	1	1	262.22	45	2	2	912	3.10868	
284	2	1	0	45	4	1	912	3.11243	
289	1	1	0	182	4	10	912	3.47267	
294	1	1	427.31	163	2	2	912	3.52148	
294	2	1	0	163	4	1	912	3.52734	
294	3	1	59.4936	168	2	1	912	3.7696	
294	4	1	0	168	4	1	912	3.77535	
304	1	1	0	41	4	1	912	3.23682	
306	1	1	0	46	4	1	912	3.11753	
306	2	1	0	101	4	10	912	3.53299	
309	1	1	0	92	4	1	912	3.12163	
314	1	1	0	43	4	1	912	3.11805	
315	1	1	0	80	4	10	912	3.52703	
316	1	1	44.4123	84	2	8	912	3.33011	
316	2	1	0	84	4	7	912	3.3567	
321	1	1	81.5752	84	2	1	912	3.32931	
321	2	1	0	84	4	1	912	3.3544	
321	3	1	221.476	129	2	10	912	3.54676	
321	4	1	0	129	4	10	912	3.56261	
322	1	1	161.684	160	2	8	912	3.36796	
322	2	1	0	160	4	9	912	3.3681	
325	1	1	0	70	4	1	912	3.1847	
325	2	1	0	99	4	6	912	3.47729	
328	1	1	86.036	127	2	4	912	3.5581	
328	2	1	0	127	4	10	912	3.56843	
329	1	1	85.6561	35	2	9	912	3.43885	
329	2	1	0	35	4	9	912	3.45001	
330	1	1	429.639	172	2	3	912	3.27444	
330	2	1	87.4007	172	2	3	912	3.2952	
330	3	1	144.96	172	1	3	912	3.29743	
332	1	1	0	67	4	1	912	3.08197	
335	1	1	0	44	4	1	912	3.08565	
342	1	1	0	15	4	2	912	3.1584	
344	1	1	477.221	172	2	3	912	3.27448	
344	2	1	184.779	172	1	4	912	3.29007	
348	1	1	0	182	4	9	912	3.45908	
353	1	1	0	81	4	3	912	3.47924	
363	1	1	0	41	4	7	912	3.23036	
364	1	1	0	127	4	10	912	3.55721	
365	1	1	102.734	27	2	9	912	3.12887	
365	2	1	0	27	4	8	912	3.13587	
367	1	1	0	27	4	5	912	3.12415	
367	2	1	20.6901	80	2	6	912	3.51387	
